Dates,INJCJC Index
2013-10-04,368
2013-10-11,368
2013-10-18,351
2013-10-25,347
2013-11-01,342
2013-11-08,340
2013-11-15,331
2013-11-22,316
2013-11-29,312
2013-12-06,354
2013-12-13,364
2013-12-20,334
2013-12-27,332
2014-01-03,322
2014-01-10,316
2014-01-17,324
2014-01-24,343
2014-01-31,334
2014-02-07,340
2014-02-14,334
2014-02-21,342
2014-02-28,321
2014-03-07,325
2014-03-14,322
2014-03-21,314
2014-03-28,332
2014-04-04,313
2014-04-11,310
2014-04-18,329
2014-04-25,344
2014-05-02,325
2014-05-09,303
2014-05-16,326
2014-05-23,306
2014-05-30,313
2014-06-06,318
2014-06-13,314
2014-06-20,316
2014-06-27,310
2014-07-04,303
2014-07-11,306
2014-07-18,295
2014-07-25,303
2014-08-01,295
2014-08-08,309
2014-08-15,302
2014-08-22,299
2014-08-29,301
2014-09-05,306
2014-09-12,287
2014-09-19,293
2014-09-26,289
2014-10-03,292
2014-10-10,279
2014-10-17,290
2014-10-24,290
2014-10-31,280
2014-11-07,290
2014-11-14,293
2014-11-21,305
2014-11-28,292
2014-12-05,289
2014-12-12,286
2014-12-19,275
2014-12-26,286
2015-01-02,293
2015-01-09,301
2015-01-16,297
2015-01-23,262
2015-01-30,287
2015-02-06,301
2015-02-13,287
2015-02-20,306
2015-02-27,318
2015-03-06,296
2015-03-13,291
2015-03-20,286
2015-03-27,269
2015-04-03,287
2015-04-10,297
2015-04-17,296
2015-04-24,268
2015-05-01,269
2015-05-08,270
2015-05-15,278
2015-05-22,282
2015-05-29,276
2015-06-05,280
2015-06-12,268
2015-06-19,276
2015-06-26,277
2015-07-03,293
2015-07-10,282
2015-07-17,265
2015-07-24,267
2015-07-31,270
2015-08-07,273
2015-08-14,277
2015-08-21,273
2015-08-28,278
2015-09-04,269
2015-09-11,262
2015-09-18,267
2015-09-25,271
2015-10-02,266
2015-10-09,263
2015-10-16,264
2015-10-23,263
2015-10-30,274
2015-11-06,274
2015-11-13,275
2015-11-20,261
2015-11-27,266
2015-12-04,280
2015-12-11,269
2015-12-18,260
2015-12-25,277
2016-01-01,274
2016-01-08,278
2016-01-15,291
2016-01-22,267
2016-01-29,291
2016-02-05,268
2016-02-12,268
2016-02-19,272
2016-02-26,271
2016-03-04,261
2016-03-11,264
2016-03-18,267
2016-03-25,274
2016-04-01,276
2016-04-08,261
2016-04-15,257
2016-04-22,258
2016-04-29,280
2016-05-06,288
2016-05-13,281
2016-05-20,269
2016-05-27,265
2016-06-03,267
2016-06-10,273
2016-06-17,263
2016-06-24,265
2016-07-01,258
2016-07-08,253
2016-07-15,260
2016-07-22,262
2016-07-29,267
2016-08-05,263
2016-08-12,263
2016-08-19,262
2016-08-26,260
2016-09-02,253
2016-09-09,248
2016-09-16,249
2016-09-23,245
2016-09-30,245
2016-10-07,247
2016-10-14,263
2016-10-21,255
2016-10-28,264
2016-11-04,249
2016-11-11,235
2016-11-18,248
2016-11-25,262
2016-12-02,252
2016-12-09,253
2016-12-16,263
2016-12-23,254
2016-12-30,238
2017-01-06,238
2017-01-13,247
2017-01-20,251
2017-01-27,254
2017-02-03,237
2017-02-10,251
2017-02-17,246
2017-02-24,235
2017-03-03,251
2017-03-10,247
2017-03-17,259
2017-03-24,253
2017-03-31,241
2017-04-07,236
2017-04-14,247
2017-04-21,252
2017-04-28,242
2017-05-05,237
2017-05-12,238
2017-05-19,237
2017-05-26,253
2017-06-02,246
2017-06-09,240
2017-06-16,244
2017-06-23,243
2017-06-30,251
2017-07-07,244
2017-07-14,239
2017-07-21,242
2017-07-28,243
2017-08-04,242
2017-08-11,236
2017-08-18,237
2017-08-25,238
2017-09-01,293
2017-09-08,267
2017-09-15,255
2017-09-22,258
2017-09-29,254
2017-10-06,241
2017-10-13,230
2017-10-20,234
2017-10-27,234
2017-11-03,237
2017-11-10,250
2017-11-17,239
2017-11-24,239
2017-12-01,235
2017-12-08,229
2017-12-15,242
2017-12-22,242
2017-12-29,248
2018-01-05,247
2018-01-12,226
2018-01-19,229
2018-01-26,234
2018-02-02,223
2018-02-09,234
2018-02-16,218
2018-02-23,217
2018-03-02,230
2018-03-09,226
2018-03-16,227
2018-03-23,218
2018-03-30,242
2018-04-06,233
2018-04-13,233
2018-04-20,209
2018-04-27,211
2018-05-04,211
2018-05-11,223
2018-05-18,234
2018-05-25,223
2018-06-01,222
2018-06-08,221
2018-06-15,218
2018-06-22,228
2018-06-29,232
2018-07-06,215
2018-07-13,208
2018-07-20,217
2018-07-27,219
2018-08-03,214
2018-08-10,212
2018-08-17,210
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
