Dates,RLG Index_Last,RLG Index_Open,RLG Index_High,RLG Index_Low,RLG Index_Volume
1995-04-03,237.979,,,,168903104
1995-04-04,238.705,,,,225287200
1995-04-05,238.659,,,,213566208
1995-04-06,238.765,,,,191064496
1995-04-07,238.871,,,,179356992
1995-04-10,239.673,,,,165685792
1995-04-11,239.022,,,,206917504
1995-04-12,239.884,,,,193612192
1995-04-13,241.125,,,,185619600
1995-04-14,241.125,,,,185619600
1995-04-17,239.249,,,,223848992
1995-04-18,238.448,,,,211185600
1995-04-19,237.071,,,,298639296
1995-04-20,237.011,,,,264498400
1995-04-21,238.554,,,,241580496
1995-04-24,240.777,,,,203394304
1995-04-25,240.505,,,,239583392
1995-04-26,240.958,,,,225654400
1995-04-27,241.654,,,,239721792
1995-04-28,242.198,,,,206996992
1995-05-01,241.291,,,,184976192
1995-05-02,241.881,,,,188610800
1995-05-03,245.178,,,,230237200
1995-05-04,245.072,,,,289709696
1995-05-05,244.482,,,,208051504
1995-05-08,246.448,,,,172315296
1995-05-09,246.554,,,,208989904
1995-05-10,246.766,,,,223298096
1995-05-11,247.809,,,,220219200
1995-05-12,247.794,,,,260096704
1995-05-15,248.172,,,,202952800
1995-05-16,248.309,,,,220720096
1995-05-17,248.248,,,,216638496
1995-05-18,244.422,,,,218756704
1995-05-19,244.664,,,,223834704
1995-05-22,246.736,,,,179922592
1995-05-23,249.352,,,,230435904
1995-05-24,249.458,,,,265370592
1995-05-25,249.382,,,,221630704
1995-05-26,247.023,,,,175049904
1995-05-29,246.41,,,,175049904
1995-05-30,245.889,,,,199897296
1995-05-31,250.29,,,,228114400
1995-06-01,250.571,,,,199241696
1995-06-02,250.506,,,,206002800
1995-06-05,252.04,,,,226261600
1995-06-06,251.907,,,,221122592
1995-06-07,251.462,,,,205915808
1995-06-08,251.779,,,,168053504
1995-06-09,249.851,,,,196467600
1995-06-12,251.305,,,,185029696
1995-06-13,253.592,,,,213947008
1995-06-14,254.028,,,,217062704
1995-06-15,254.84,,,,210446208
1995-06-16,256.567,,,,264016496
1995-06-19,259.654,,,,214949696
1995-06-20,259.688,,,,236840992
1995-06-21,259.721,,,,244000096
1995-06-22,263.217,,,,248352496
1995-06-23,262.316,,,,212892000
1995-06-26,259.348,,,,190946800
1995-06-27,257.612,,,,216411104
1995-06-28,258.285,,,,234307008
1995-06-29,258.674,,,,186422704
1995-06-30,259.454,,,,223678896
1995-07-03,260.625,,,,75474600
1995-07-04,261.35,,,,75474600
1995-07-05,260.91,,,,240546704
1995-07-06,263.921,,,,288756608
1995-07-07,265.12,,,,356900896
1995-07-10,265.533,,,,301212288
1995-07-11,264.546,,,,277897504
1995-07-12,268.018,,,,323499296
1995-07-13,268.425,,,,307275584
1995-07-14,268.259,,,,250417296
1995-07-17,269.963,,,,278561088
1995-07-18,267.302,,,,312099904
1995-07-19,261.961,,,,479129504
1995-07-20,262.79,,,,349070016
1995-07-21,263.572,,,,350079008
1995-07-24,265.849,,,,262662704
1995-07-25,268.335,,,,313067904
1995-07-26,269.446,,,,319760192
1995-07-27,271.587,,,,293728704
1995-07-28,270.389,,,,269283200
