Dates,RTY Index_Last,RTY Index_Open,RTY Index_High,RTY Index_Low,RTY Index_Volume
2016-03-18,1101.673,1092.014,1102.978,1092.014,834541440
2016-03-21,1098.578,1101.458,1103.628,1096.156,229811200
2016-03-22,1097.339,1096.68,1100.765,1090,218945376
2016-03-23,1075.699,1097.048,1097.048,1075.698,247606464
2016-03-24,1079.537,1074.696,1079.538,1065.622,224863968
2016-03-25,1079.537,1074.696,1079.538,1065.622,224863968
2016-03-28,1080.231,1079.94,1084.468,1073.46,205131136
2016-03-29,1109.082,1079.818,1109.212,1075.432,309198496
2016-03-30,1110.442,1110.193,1117.347,1107.734,245687072
2016-03-31,1114.028,1110.434,1117.787,1109.533,305867392
2016-04-01,1117.684,1112.902,1118.394,1102.117,260035744
2016-04-04,1108.541,1117.689,1119.412,1108.17,229962528
2016-04-05,1095.854,1106.22,1106.22,1095.247,242460240
2016-04-06,1108.813,1095.986,1109.017,1094.237,237502880
2016-04-07,1092.785,1107.895,1107.895,1088.562,289421440
2016-04-08,1097.314,1093.861,1106.052,1093.769,229995616
2016-04-11,1094.342,1097.964,1110.435,1094.309,226763360
2016-04-12,1105.713,1094.461,1107.359,1091.651,235572480
2016-04-13,1129.926,1106.484,1129.926,1106.484,279331936
2016-04-14,1128.589,1130.078,1132.094,1125.128,237407200
2016-04-15,1130.923,1128.081,1132.142,1125.062,236290784
2016-04-18,1139.278,1129.715,1139.482,1125.155,210989664
2016-04-19,1140.233,1139.833,1146.498,1135.848,227468864
2016-04-20,1142.294,1140.136,1147.722,1137.321,228028576
2016-04-21,1135.77,1142.375,1144.543,1133.438,233228576
2016-04-22,1146.69,1135.662,1147.41,1135.509,298661760
2016-04-25,1138.098,1146.255,1146.255,1134.851,234323968
2016-04-26,1150.728,1138.701,1150.823,1138.701,253500640
2016-04-27,1154.149,1150.924,1156.071,1145.85,247131024
2016-04-28,1140.398,1153.105,1155.547,1138.698,283674560
2016-04-29,1130.845,1140.107,1140.107,1124.264,361003456
2016-05-02,1140.92,1131.21,1140.925,1129.24,296663552
2016-05-03,1121.756,1138.87,1138.87,1116.534,354566944
2016-05-04,1113.135,1121.164,1123.689,1110.394,302050944
2016-05-05,1107.948,1114.35,1118.377,1107.637,301126176
2016-05-06,1114.72,1107.798,1114.772,1101.572,299325184
2016-05-09,1118.254,1114.724,1123.655,1113.081,268644064
2016-05-10,1128.833,1118.735,1129.035,1117.938,256710464
2016-05-11,1114.741,1128.466,1128.466,1114.614,254894160
2016-05-12,1108.599,1114.871,1119.889,1101.26,265568016
2016-05-13,1102.439,1108.371,1112.964,1099.438,261985744
2016-05-16,1116.212,1103.228,1119.681,1103.228,258168992
2016-05-17,1097.676,1115.411,1118.342,1094.059,302627840
2016-05-18,1102.954,1097.191,1110.732,1093.947,248858976
2016-05-19,1094.778,1102.948,1103.722,1085.945,256909776
2016-05-20,1112.276,1095.165,1112.322,1095.165,276954400
2016-05-23,1111.367,1112.474,1117.323,1110.871,248029120
2016-05-24,1135.307,1112.511,1136.29,1112.511,286365728
2016-05-25,1141.024,1136.366,1142.845,1136.366,257737808
2016-05-26,1139.754,1141.101,1143.189,1137.593,228930576
2016-05-27,1150.45,1139.979,1150.45,1139.979,235589920
2016-05-30,1150.45,1139.979,1150.45,1139.979,235589920
2016-05-31,1154.792,1150.601,1158.968,1150.344,371514592
2016-06-01,1163.041,1154.505,1163.429,1148.596,294368032
2016-06-02,1170.584,1162.737,1170.767,1159.363,263169616
2016-06-03,1164.135,1170.39,1170.39,1155.839,263850800
2016-06-06,1176.872,1164.262,1179.337,1163.678,265271904
2016-06-07,1179.973,1177.194,1183.751,1175.052,243597104
2016-06-08,1188.954,1180.197,1190.172,1180.197,250879728
2016-06-09,1181.202,1188.231,1188.231,1177.855,266859280
