Dates,SPX Index_Last,SPX Index_Open,SPX Index_High,SPX Index_Low,SPX Index_Volume
2000-09-20,1451.34,1459.9,1460.49,1430.95,1325736192
2000-09-21,1449.05,1451.34,1452.77,1436.3,1215073920
2000-09-22,1448.72,1449.05,1449.05,1421.08,1725019264
2000-09-25,1439.03,1448.72,1457.42,1435.93,1224080000
2000-09-26,1427.21,1439.03,1448.04,1425.25,1395196544
2000-09-27,1426.57,1427.21,1437.22,1419.44,1405354752
2000-09-28,1458.29,1426.57,1461.69,1425.78,1440993536
2000-09-29,1436.51,1458.29,1458.29,1436.29,1349801216
2000-10-02,1436.23,1436.52,1445.6,1429.83,1312319488
2000-10-03,1426.46,1436.23,1454.82,1425.28,1434028032
2000-10-04,1434.32,1426.46,1439.99,1416.31,1594048128
2000-10-05,1436.28,1434.32,1444.17,1431.8,1499453056
2000-10-06,1408.99,1436.28,1443.3,1397.06,1378813184
2000-10-09,1402.03,1408.99,1409.69,1392.48,945688704
2000-10-10,1387.02,1402.03,1408.83,1383.85,1401401344
2000-10-11,1364.59,1387.02,1387.02,1349.67,1835858304
2000-10-12,1329.78,1364.59,1374.93,1328.06,1736730240
2000-10-13,1374.17,1329.78,1374.17,1326.81,1554259456
2000-10-16,1374.62,1374.17,1379.48,1365.06,1358224256
2000-10-17,1349.97,1374.62,1380.99,1342.34,1506671744
2000-10-18,1342.13,1349.97,1356.65,1305.79,1915332480
2000-10-19,1388.76,1342.13,1389.93,1342.13,1677361664
2000-10-20,1396.93,1388.76,1408.47,1382.19,1437765632
2000-10-23,1395.78,1396.93,1406.96,1387.75,1275909760
2000-10-24,1398.13,1395.78,1415.64,1388.13,1381184640
2000-10-25,1364.9,1398.13,1398.13,1362.21,1736984704
2000-10-26,1364.44,1364.9,1372.72,1337.77,1749170048
2000-10-27,1379.58,1364.44,1384.57,1364.13,1498236544
2000-10-30,1398.66,1379.58,1406.36,1376.86,1484078336
2000-10-31,1429.4,1398.66,1432.22,1398.66,1614029440
2000-11-01,1421.22,1429.4,1429.6,1410.45,1604911232
2000-11-02,1428.32,1421.22,1433.27,1421.13,1596218752
2000-11-03,1426.69,1428.32,1433.21,1420.92,1286260736
2000-11-06,1432.19,1428.76,1438.46,1427.72,1179873536
2000-11-07,1431.87,1432.19,1436.22,1423.26,1199092224
2000-11-08,1409.28,1431.87,1437.28,1408.78,1301285632
2000-11-09,1400.14,1409.28,1409.28,1369.68,1545654400
2000-11-10,1365.98,1400.14,1400.14,1365.97,1426007552
2000-11-13,1351.26,1365.98,1365.98,1328.62,1585034752
2000-11-14,1382.95,1351.26,1390.06,1351.26,1448981760
2000-11-15,1389.81,1382.95,1395.96,1374.75,1357135744
2000-11-16,1372.32,1389.81,1394.68,1370.4,1135079296
2000-11-17,1367.72,1372.32,1384.85,1355.55,1399985920
2000-11-20,1342.62,1367.72,1367.72,1341.67,1291726720
2000-11-21,1347.35,1342.62,1355.87,1333.62,1374003584
2000-11-22,1322.36,1347.35,1347.35,1321.89,1240642560
2000-11-23,1322.36,1347.35,1347.35,1321.89,1240642560
2000-11-24,1341.77,1322.36,1343.83,1322.36,522902400
2000-11-27,1348.97,1341.77,1362.5,1341.77,1188472832
2000-11-28,1336.09,1348.97,1358.81,1334.97,1352289792
2000-11-29,1341.91,1336.09,1352.38,1329.28,1472810752
2000-11-30,1314.95,1341.91,1341.91,1294.9,2082983552
2000-12-01,1315.23,1314.95,1334.67,1307.02,1662601088
2000-12-04,1324.97,1315.18,1332.06,1310.23,1467756288
2000-12-05,1376.54,1324.97,1376.56,1324.97,1795652352
2000-12-06,1351.46,1376.54,1376.54,1346.15,1811845632
2000-12-07,1343.55,1351.46,1353.5,1339.26,1407995648
2000-12-08,1369.89,1343.55,1380.33,1343.55,1663385600
2000-12-11,1380.2,1369.89,1389.05,1364.14,1712259712
2000-12-12,1371.18,1380.2,1380.27,1370.27,1445625856
2000-12-13,1359.99,1371.18,1385.82,1358.48,1582478592
2000-12-14,1340.93,1359.99,1359.99,1340.48,1403351296
2000-12-15,1312.15,1340.93,1340.93,1305.38,2449779712
2000-12-18,1322.74,1312.15,1332.32,1312.15,1546816128
2000-12-19,1305.6,1322.96,1346.44,1305.2,1760548864
2000-12-20,1264.74,1305.6,1305.6,1261.16,2027699456
2000-12-21,1274.86,1264.74,1285.31,1254.07,1963394816
2000-12-22,1305.97,1274.86,1305.97,1274.86,1498741504
2000-12-25,1305.97,1274.86,1305.97,1274.86,1498741504
2000-12-26,1315.19,1305.97,1315.94,1301.64,1015204096
2000-12-27,1328.92,1315.19,1332.03,1310.96,1308515072
2000-12-28,1334.22,1328.92,1335.93,1325.78,1233448064
2000-12-29,1320.28,1334.22,1340.1,1317.51,1321011968
2001-01-01,1320.28,1334.22,1340.1,1317.51,1321011968
2001-01-02,1283.27,1320.28,1320.28,1276.05,1565649536
2001-01-03,1347.56,1283.27,1347.76,1274.62,2663838720
2001-01-04,1333.34,1347.56,1350.24,1329.14,2647424000
2001-01-05,1298.35,1333.34,1334.77,1294.95,1823482880
2001-01-08,1295.86,1298.35,1298.35,1276.29,1442593408
2001-01-09,1300.8,1295.86,1311.72,1295.14,1584519296
2001-01-10,1313.27,1300.8,1313.76,1287.28,1911151744
2001-01-11,1326.82,1313.27,1332.19,1310.36,1960329344
2001-01-12,1318.32,1326.82,1333.21,1311.59,1672354176
2001-01-15,1318.32,1326.82,1333.21,1311.59,1672354176
2001-01-16,1326.65,1318.32,1327.81,1313.33,1411107712
2001-01-17,1329.47,1326.65,1346.92,1325.41,1842614400
2001-01-18,1347.97,1329.89,1352.71,1327.41,1901482112
2001-01-19,1342.54,1347.97,1354.55,1336.74,2137997824
2001-01-22,1342.9,1342.54,1353.62,1333.84,1598848640
2001-01-23,1360.4,1342.9,1362.9,1339.63,1642673792
2001-01-24,1364.3,1360.4,1369.59,1357.28,1817041792
2001-01-25,1357.51,1364.3,1367.35,1354.63,1649611776
2001-01-26,1354.95,1357.51,1357.51,1342.75,1575466752
2001-01-29,1364.17,1354.92,1365.54,1350.36,1387732096
2001-01-30,1373.73,1364.17,1375.68,1356.2,1434085760
2001-01-31,1366.01,1373.73,1383.37,1364.66,1700696064
2001-02-01,1373.47,1366.01,1373.5,1359.34,1425923840
2001-02-02,1349.47,1373.47,1376.38,1348.72,1371136256
2001-02-05,1354.31,1349.47,1354.56,1344.48,1333683712
2001-02-06,1352.26,1354.31,1363.55,1350.04,1364983040
2001-02-07,1340.89,1352.26,1352.26,1334.26,1729528960
2001-02-08,1332.53,1341.1,1350.32,1332.42,1495336832
2001-02-09,1314.76,1332.53,1332.53,1309.98,1529814016
2001-02-12,1330.31,1314.76,1330.96,1313.64,1362632064
2001-02-13,1318.8,1330.31,1336.62,1317.51,1411559936
2001-02-14,1315.92,1318.8,1320.73,1304.72,1595352832
2001-02-15,1326.61,1315.92,1331.29,1315.92,1621329408
2001-02-16,1301.53,1326.61,1326.61,1293.18,1756353152
2001-02-19,1301.53,1326.61,1326.61,1293.18,1756353152
2001-02-20,1278.94,1301.53,1307.16,1278.44,1594039168
2001-02-21,1255.27,1278.94,1282.97,1253.16,1686524800
2001-02-22,1252.82,1255.27,1259.94,1228.33,1986516480
2001-02-23,1245.86,1252.82,1252.82,1215.44,1845526144
2001-02-26,1267.65,1245.86,1267.69,1241.71,1566206976
2001-02-27,1257.94,1267.65,1272.76,1252.26,1582054528
2001-02-28,1239.94,1257.94,1263.47,1229.65,1747314048
2001-03-01,1241.23,1239.94,1241.36,1214.5,1916356736
2001-03-02,1234.18,1241.23,1251.01,1219.74,2036634624
2001-03-05,1241.41,1234.18,1242.55,1234.04,1264886016
2001-03-06,1253.8,1241.41,1267.42,1241.41,1626726400
2001-03-07,1261.89,1253.8,1263.86,1253.8,1528950656
2001-03-08,1264.74,1261.89,1266.5,1257.6,1525319936
2001-03-09,1233.42,1264.74,1264.74,1228.42,1669442944
2001-03-12,1180.16,1233.42,1233.42,1176.78,1847023104
2001-03-13,1197.66,1180.16,1197.83,1171.5,1872714368
2001-03-14,1166.71,1197.66,1197.66,1155.35,1992116736
2001-03-15,1173.56,1166.71,1182.04,1166.71,1703076864
2001-03-16,1150.53,1173.56,1173.56,1148.64,2128599168
2001-03-19,1170.81,1150.53,1173.5,1147.18,1482044032
2001-03-20,1142.62,1170.81,1180.56,1142.19,1763675648
2001-03-21,1122.14,1142.62,1149.39,1118.74,1835976192
2001-03-22,1117.58,1122.14,1124.27,1081.19,2325119744
2001-03-23,1139.83,1117.58,1141.83,1117.58,1970645120
2001-03-26,1152.69,1139.83,1160.02,1139.83,1526501504
2001-03-27,1182.17,1152.69,1183.35,1150.96,1782941440
2001-03-28,1153.29,1182.17,1182.17,1147.83,1881793408
2001-03-29,1147.95,1153.29,1161.69,1136.26,1772208256
2001-03-30,1160.33,1147.95,1162.8,1143.83,1589162112
2001-04-02,1145.87,1160.33,1169.51,1137.51,1559922944
2001-04-03,1106.46,1145.87,1145.87,1100.19,1932531840
2001-04-04,1103.25,1106.46,1117.5,1091.99,2039970688
2001-04-05,1151.44,1103.25,1151.47,1103.25,1912934912
2001-04-06,1128.43,1151.44,1151.44,1119.29,1764234112
2001-04-09,1137.59,1128.43,1146.13,1126.38,1353624192
2001-04-10,1168.38,1137.59,1173.92,1137.59,1873304448
2001-04-11,1165.89,1168.38,1182.24,1160.26,1972617856
2001-04-12,1183.5,1165.89,1183.51,1157.73,1555897728
2001-04-13,1183.5,1165.89,1183.51,1157.73,1555897728
2001-04-16,1179.68,1183.5,1184.64,1167.38,1330426240
2001-04-17,1191.81,1179.68,1192.04,1169.13,1645501568
2001-04-18,1238.16,1191.81,1248.42,1191.81,2709451520
2001-04-19,1253.7,1238.16,1253.71,1233.39,2176782336
2001-04-20,1242.98,1253.7,1253.7,1234.41,1927235584
2001-04-23,1224.36,1242.98,1242.98,1217.47,1430712448
2001-04-24,1209.47,1224.36,1233.54,1208.89,1631036544
2001-04-25,1228.75,1209.47,1232.36,1207.38,1592211200
2001-04-26,1234.52,1228.75,1248.3,1228.75,1669401344
2001-04-27,1253.05,1234.52,1253.07,1234.52,1418552576
2001-04-30,1249.46,1253.05,1269.3,1243.99,1601348864
2001-05-01,1266.44,1249.46,1266.47,1243.55,1507908992
2001-05-02,1267.43,1266.44,1272.93,1257.7,1848139520
2001-05-03,1248.58,1267.43,1267.43,1239.88,1461929600
2001-05-04,1266.61,1248.58,1267.51,1232,1483458816
2001-05-07,1263.51,1266.61,1270,1259.19,1246804352
2001-05-08,1261.2,1266.71,1267.01,1253,1380584960
2001-05-09,1255.54,1261.2,1261.65,1247.83,1385591808
2001-05-10,1255.18,1255.54,1268.14,1254.56,1287697664
2001-05-11,1245.67,1255.18,1259.84,1240.79,1072609728
2001-05-14,1248.92,1245.67,1249.68,1241.02,1017165824
2001-05-15,1249.44,1248.92,1257.45,1245.36,1354375552
2001-05-16,1284.99,1249.44,1286.39,1243.02,1713640320
2001-05-17,1288.49,1284.99,1296.48,1282.65,1656599552
2001-05-18,1291.96,1288.49,1292.06,1281.15,1429413376
2001-05-21,1312.83,1291.96,1312.95,1287.87,1702458752
2001-05-22,1309.38,1312.83,1315.93,1306.89,1670284160
2001-05-23,1289.05,1309.38,1309.38,1288.7,1450729216
2001-05-24,1293.17,1289.05,1295.04,1281.22,1366325120
2001-05-25,1277.89,1293.17,1293.17,1276.42,968469504
2001-05-28,1277.89,1293.17,1293.17,1276.42,968469504
2001-05-29,1267.93,1277.89,1278.42,1265.41,1266871424
2001-05-30,1248.08,1267.93,1267.93,1245.96,1559352448
2001-05-31,1255.82,1248.08,1261.91,1248.07,1422694144
2001-06-01,1260.67,1255.82,1265.34,1246.88,1245232640
2001-06-04,1267.11,1260.67,1267.17,1256.36,991919808
2001-06-05,1283.57,1267.11,1286.62,1267.11,1396768896
2001-06-06,1270.03,1283.57,1283.85,1269.01,1380106624
2001-06-07,1276.96,1270.03,1278.42,1265.41,1370189952
2001-06-08,1264.96,1276.96,1277.11,1259.99,981370624
2001-06-11,1254.39,1264.96,1264.96,1249.23,1014359168
2001-06-12,1255.85,1254.39,1261,1235.75,1327813120
2001-06-13,1241.6,1255.85,1259.75,1241.59,1214911744
2001-06-14,1219.87,1241.6,1241.6,1218.9,1490619520
2001-06-15,1214.36,1219.87,1221.5,1203.03,2063020800
2001-06-18,1208.43,1214.36,1221.23,1208.33,1317520768
2001-06-19,1212.58,1208.43,1226.11,1207.71,1577720448
2001-06-20,1223.14,1212.58,1225.61,1210.07,1705208448
2001-06-21,1237.04,1223.14,1240.24,1220.25,1842672640
2001-06-22,1225.35,1237.04,1237.73,1221.41,1433436928
2001-06-25,1218.6,1225.35,1231.5,1213.6,1263730560
2001-06-26,1216.76,1218.6,1220.7,1204.64,1470111360
2001-06-27,1211.07,1216.76,1219.92,1207.29,1429192960
2001-06-28,1226.2,1211.07,1234.44,1211.07,1648430336
2001-06-29,1224.42,1226.2,1237.29,1221.14,1839260032
2001-07-02,1236.71,1224.42,1239.78,1224.03,1258460160
2001-07-03,1234.45,1236.71,1236.71,1229.43,712475200
2001-07-04,1234.45,1236.71,1236.71,1229.43,712475200
2001-07-05,1219.24,1234.45,1234.45,1219.15,1098618752
2001-07-06,1190.59,1219.24,1219.24,1188.74,1279644160
2001-07-09,1198.78,1190.59,1201.76,1189.75,1297929856
2001-07-10,1181.52,1198.78,1203.43,1179.93,1522987264
2001-07-11,1180.18,1181.52,1184.93,1168.46,1701034752
2001-07-12,1208.14,1180.18,1210.25,1180.18,1714198912
2001-07-13,1215.68,1208.14,1218.54,1203.61,1366818048
2001-07-16,1202.45,1215.68,1219.63,1200.05,1315027840
2001-07-17,1214.44,1202.45,1215.36,1196.14,1631092480
2001-07-18,1207.71,1214.44,1214.44,1198.33,1693879424
2001-07-19,1215.02,1207.71,1225.04,1205.8,1710162432
2001-07-20,1210.85,1215.02,1215.69,1207.04,1465336960
2001-07-23,1191.03,1210.85,1215.22,1190.5,1181394944
2001-07-24,1171.65,1191.03,1191.03,1165.54,1410269312
2001-07-25,1190.49,1171.65,1190.52,1171.28,1506182144
2001-07-26,1202.93,1190.49,1204.18,1182.65,1517097600
2001-07-27,1205.82,1202.93,1209.26,1195.99,1271116800
