Dates,MID Index_Last,MID Index_Open,MID Index_High,MID Index_Low,MID Index_Volume
2013-03-12,1131.13,1132.18,1133.15,1127.41,85348032
2013-03-13,1135.18,1131.13,1136.32,1129.54,83523208
2013-03-14,1143.51,1135.18,1143.51,1135.18,85980544
2013-03-15,1141.83,1143.19,1143.21,1138.33,248559568
2013-03-18,1137.68,1141.83,1142.38,1130.91,92578128
2013-03-19,1134.81,1137.68,1141.42,1126.41,99440784
2013-03-20,1145.88,1134.81,1146.94,1134.81,90101040
2013-03-21,1135.91,1145.86,1145.86,1133.35,88910896
2013-03-22,1139.67,1135.93,1140.87,1135.93,80464656
2013-03-25,1136.91,1139.7,1146.82,1132.34,87690960
2013-03-26,1143.98,1136.91,1144.06,1136.91,79684480
2013-03-27,1145.97,1143.98,1146.66,1133.41,83740488
2013-03-28,1153.68,1145.97,1154.66,1145.6,101288728
2013-03-29,1153.68,1145.97,1154.66,1145.6,101288728
2013-04-01,1142.27,1153.67,1153.67,1138.33,91515440
2013-04-02,1137.69,1142.27,1148.26,1134.49,90418032
2013-04-03,1119.34,1137.69,1139.78,1116.48,122170984
2013-04-04,1125.57,1120.18,1125.75,1118.69,88483728
2013-04-05,1123.97,1125.57,1125.57,1107.76,102726624
2013-04-08,1133.39,1123.96,1133.39,1120.33,76451392
2013-04-09,1133.72,1133.39,1137.52,1129.02,83595408
2013-04-10,1149,1133.82,1149.33,1133.82,104610888
2013-04-11,1153.42,1149,1156.92,1147.9,89683896
2013-04-12,1149.23,1153.42,1153.42,1143.17,92635104
2013-04-15,1111.71,1149.23,1149.23,1110.07,145376288
2013-04-16,1130.04,1111.88,1130.6,1111.88,105473528
2013-04-17,1111.62,1130.04,1130.04,1104.37,122497192
2013-04-18,1104.79,1111.62,1114.68,1101.03,115828960
2013-04-19,1121.3,1104.83,1122.25,1104.83,121373088
2013-04-22,1124.44,1121.3,1127.3,1109.81,93643104
2013-04-23,1137.04,1124.47,1137.66,1124.47,107364704
2013-04-24,1140.25,1137.04,1141.54,1135.04,107920720
2013-04-25,1146.34,1143.14,1151.5,1142.27,110861632
2013-04-26,1141.2,1146.34,1146.34,1137.09,96896680
2013-04-29,1149.82,1141.2,1151.57,1141.2,89947704
2013-04-30,1160.02,1149.82,1160.02,1146.79,143970400
2013-05-01,1139.19,1159.92,1159.92,1138.49,117021528
2013-05-02,1150.43,1139.19,1151.27,1139.19,100734080
2013-05-03,1165.07,1150.43,1170.17,1150.43,93818296
2013-05-06,1170.87,1165.07,1171.84,1165.07,83770648
2013-05-07,1181.2,1170.89,1181.2,1170.89,93936616
2013-05-08,1186.54,1181.2,1186.54,1178.17,113657344
2013-05-09,1182.72,1186.55,1187.28,1180.74,92490800
2013-05-10,1189.93,1182.72,1190.09,1182.56,80273584
2013-05-13,1187.85,1188.35,1190.36,1183.99,85481672
2013-05-14,1200.86,1187.9,1200.87,1187.9,88683072
2013-05-15,1206.34,1199.02,1207.55,1197.88,105162672
2013-05-16,1199.73,1205.08,1208.83,1198.01,93482920
2013-05-17,1211.54,1202.1,1212,1202.1,101112216
2013-05-20,1212.3,1209.77,1216.45,1209.73,96213680
2013-05-21,1214.89,1212.57,1217.54,1210.46,83286144
2013-05-22,1193.77,1215.06,1223.37,1188.92,114383384
2013-05-23,1193.14,1193.77,1193.77,1178.38,130961360
2013-05-24,1188.07,1189.51,1189.51,1177.9,85435520
2013-05-27,1188.07,1189.51,1189.51,1177.9,85435520
2013-05-28,1196.8,1191.95,1207.64,1191.3,98776704
2013-05-29,1186.46,1192.15,1192.15,1177.67,109057416
2013-05-30,1195.28,1187.46,1197.85,1187.46,117047560
2013-05-31,1184.32,1191.92,1200.45,1184.14,130335952
2013-06-03,1180.77,1185.39,1185.77,1169.81,130993824
2013-06-04,1172.07,1180.41,1186.19,1166.59,112766136
2013-06-05,1156.31,1170.38,1170.63,1155.81,102415776
2013-06-06,1170.29,1156.46,1170.29,1154.32,118866048
2013-06-07,1181.26,1172.31,1182.33,1168.44,102478008
2013-06-10,1181.73,1183.69,1184.68,1175.55,85177736
2013-06-11,1167.29,1176.49,1177.74,1162.38,86406168
2013-06-12,1155.9,1171.28,1174.81,1153.78,90127704
