Dates,BCOMTR Index_Last,BCOMTR Index_Open,BCOMTR Index_High,BCOMTR Index_Low
1995-02-20,112.491,112.491,112.491,112.491
1995-02-21,112.642,112.642,112.642,112.642
1995-02-22,112.705,112.705,112.705,112.705
1995-02-23,112.483,112.483,112.483,112.483
1995-02-24,112.719,112.719,112.719,112.719
1995-02-27,112.384,112.384,112.384,112.384
1995-02-28,111.963,111.963,111.963,111.963
1995-03-01,111.757,111.757,111.757,111.757
1995-03-02,111.731,111.731,111.731,111.731
1995-03-03,112.367,112.367,112.367,112.367
1995-03-06,112.625,112.625,112.625,112.625
1995-03-07,113.207,113.207,113.207,113.207
1995-03-08,112.552,112.552,112.552,112.552
1995-03-09,112.445,112.445,112.445,112.445
1995-03-10,112.264,112.264,112.264,112.264
1995-03-13,113.026,113.026,113.026,113.026
1995-03-14,112.572,112.572,112.572,112.572
1995-03-15,112.982,112.982,112.982,112.982
1995-03-16,112.895,112.895,112.895,112.895
1995-03-17,112.998,112.998,112.998,112.998
1995-03-20,113.229,113.229,113.229,113.229
1995-03-21,112.9,112.9,112.9,112.9
1995-03-22,114.546,114.546,114.546,114.546
1995-03-23,114.253,114.253,114.253,114.253
1995-03-24,113.623,113.623,113.623,113.623
1995-03-27,114.053,114.053,114.053,114.053
1995-03-28,113.95,113.95,113.95,113.95
1995-03-29,113.724,113.724,113.724,113.724
1995-03-30,114.464,114.464,114.464,114.464
1995-03-31,114.736,114.736,114.736,114.736
1995-04-03,115.162,115.162,115.162,115.162
1995-04-04,115.707,115.707,115.707,115.707
1995-04-05,116.431,116.431,116.431,116.431
1995-04-06,116.659,116.659,116.659,116.659
1995-04-07,116.68,116.68,116.68,116.68
1995-04-10,116.337,116.337,116.337,116.337
1995-04-11,116.901,116.901,116.901,116.901
1995-04-12,116.391,116.391,116.391,116.391
1995-04-13,115.286,115.286,115.286,115.286
1995-04-14,115.286,115.286,115.286,115.286
1995-04-17,116.634,116.634,116.634,116.634
1995-04-18,117.166,117.166,117.166,117.166
1995-04-19,116.847,116.847,116.847,116.847
1995-04-20,116.964,116.964,116.964,116.964
1995-04-21,117.412,117.412,117.412,117.412
1995-04-24,117.255,117.255,117.255,117.255
1995-04-25,117.04,117.04,117.04,117.04
1995-04-26,116.208,116.208,116.208,116.208
1995-04-27,117.128,117.128,117.128,117.128
1995-04-28,117.028,117.028,117.028,117.028
1995-05-01,117.708,117.708,117.708,117.708
1995-05-02,117.002,117.002,117.002,117.002
1995-05-03,116.741,116.741,116.741,116.741
1995-05-04,116.922,116.922,116.922,116.922
1995-05-05,116.384,116.384,116.384,116.384
1995-05-08,116.039,116.039,116.039,116.039
1995-05-09,114.769,114.769,114.769,114.769
1995-05-10,115.046,115.046,115.046,115.046
1995-05-11,114.51,114.51,114.51,114.51
1995-05-12,114.865,114.865,114.865,114.865
1995-05-15,115.641,115.641,115.641,115.641
1995-05-16,116.271,116.271,116.271,116.271
1995-05-17,116.054,116.054,116.054,116.054
1995-05-18,116.883,116.883,116.883,116.883
1995-05-19,116.922,116.922,116.922,116.922
1995-05-22,117.515,117.515,117.515,117.515
1995-05-23,118.262,118.262,118.262,118.262
1995-05-24,117.979,117.979,117.979,117.979
1995-05-25,117.677,117.677,117.677,117.677
1995-05-26,117.153,117.153,117.153,117.153
1995-05-29,117.153,117.153,117.153,117.153
1995-05-30,115.958,115.958,115.958,115.958
1995-05-31,116.228,116.228,116.228,116.228
1995-06-01,117.219,117.219,117.219,117.219
1995-06-02,117.173,117.173,117.173,117.173
1995-06-05,117.491,117.491,117.491,117.491
1995-06-06,117.002,117.002,117.002,117.002
1995-06-07,117.069,117.069,117.069,117.069
1995-06-08,117.006,117.006,117.006,117.006
1995-06-09,117.049,117.049,117.049,117.049
1995-06-12,116.745,116.745,116.745,116.745
1995-06-13,116.691,116.691,116.691,116.691
