Dates,BCOM Index_Last,BCOM Index_Open,BCOM Index_High,BCOM Index_Low
2000-05-05,99.7485,99.7485,99.7485,99.7485
2000-05-08,100.2396,100.24,100.24,100.2396
2000-05-09,100.8321,100.832,100.8321,100.8321
2000-05-10,101.418,101.418,101.418,101.418
2000-05-11,102.38,102.38,102.38,102.38
2000-05-12,102.8206,102.821,102.821,102.8206
2000-05-15,102.7036,102.704,102.704,102.7036
2000-05-16,103.0516,103.052,103.052,103.0516
2000-05-17,103.1237,103.124,103.124,103.1237
2000-05-18,103.9822,103.518,104.26,103.518
2000-05-19,104.0066,103.993,104.254,103.993
2000-05-22,103.1693,103.609,104.186,103.1693
2000-05-23,103.271,103.274,103.42,103.271
2000-05-24,104.644,103.47,104.644,103.47
2000-05-25,104.8746,104.819,104.964,104.819
2000-05-26,104.7136,105.265,105.423,104.7136
2000-05-29,104.7136,105.265,105.423,104.7136
2000-05-30,103.9185,104.048,104.303,103.9185
2000-05-31,102.8426,104.407,104.603,102.8426
2000-06-01,103.4509,103.308,103.625,103.308
2000-06-02,104.1036,103.415,104.577,103.415
2000-06-05,104.2028,104.102,104.257,104.102
2000-06-06,104.1035,104.614,104.972,104.1035
2000-06-07,102.7753,103.716,103.749,102.7753
2000-06-08,103.2144,102.905,103.636,102.905
2000-06-09,103.6873,103.046,103.905,103.046
2000-06-12,103.9982,103.393,103.998,103.393
2000-06-13,104.4835,104.326,104.861,104.326
2000-06-14,104.4698,104.264,104.699,104.264
2000-06-15,104.7483,104.801,104.863,104.7483
2000-06-16,104.1134,104.722,104.8,104.1134
2000-06-19,103.0003,103.512,103.689,103.0003
2000-06-20,103.3605,102.554,103.433,102.554
2000-06-21,104.5074,103.223,104.546,103.223
2000-06-22,105.6421,104.526,105.666,104.526
2000-06-23,104.8829,105.538,105.81,104.8829
2000-06-26,104.5637,104.966,104.973,104.5637
2000-06-27,105.3805,104.734,105.727,104.734
2000-06-28,104.9104,105.163,105.663,104.9104
2000-06-29,105.7498,105.098,105.842,105.098
2000-06-30,104.7638,105.783,105.938,104.7638
2000-07-03,104.7638,105.783,105.938,104.7638
2000-07-04,104.7638,105.783,105.938,104.7638
2000-07-05,102.0189,102.693,102.744,102.0189
2000-07-06,100.7384,102.319,102.407,100.7384
2000-07-07,101.632,100.915,101.775,100.915
2000-07-10,101.4318,101.118,101.622,101.118
2000-07-11,101.6973,101.323,101.6973,101.323
2000-07-12,101.5617,101.367,101.957,101.367
2000-07-13,102.7323,101.583,102.793,101.583
2000-07-14,102.0742,102.458,102.568,102.0742
